75,91,6,85,4815
6,48,48,48,234
5,60,24,40,160
74,48,8,86,4794
10,74,70,11,659
67,89,32,19,4551
49,36,32,68,3150
90,49,95,82,6014
74,90,9,19,5017
94,49,19,47,6353
21,3,90,38,1399
95,21,60,34,6550
14,50,7,84,606
89,46,65,44,6081
38,83,62,63,2392
48,67,33,33,3194
70,88,91,86,4553
92,41,62,53,6244
92,3,4,17,6379
43,54,7,93,2594
40,75,86,15,2750
74,64,72,39,5024
50,61,46,71,3191
78,5,60,20,5440
32,13,14,56,2014
21,34,18,78,1140
88,96,17,1,6084
71,4,74,67,4773
43,29,10,19,2909
3,32,96,29,164
5,82,22,72,11
50,54,64,2,3507
48,33,54,67,3107
42,82,8,46,2690
65,88,23,79,4162
32,33,35,86,1898
44,89,35,32,2902
61,9,85,46,4162
52,14,62,65,3427
56,69,66,13,3861
23,86,23,72,1268
54,64,24,47,3549
80,26,56,22,5538
24,22,94,65,1484
50,87,32,21,3363
77,88,9,78,4990
86,88,21,54,5739
79,47,66,65,5287
